d13C,d15N,d34S,species,
-11.38,10.12,11.72,AWB,
-10.90,10.42,11.13,AWB,
-11.03,10.60,10.28,AWB,
-10.2,7.32,9.22,AWB,
-11.13,10.03,10.27,AWB,
-14.28,12.72,10.53,AWB,
-11.28,10.65,9.46,AWB,
-10.68,10.36,10.46,AWB,
-12.14,11.00,10.59,AWB,
-10.91,10.82,10.60,AWB,
-10.99,10.84,10.31,AWB,
-11.37,8.34,9.75,AWB,
-10.57,10.80,11.68,RPV,
-11.15,8.68,9.42,RPV,
-11.18,11.31,10.24,RPV,
-11.56,10.32,9.36,RPV,
-11.18,11.17,8.09,RPV,
-12.87,11.32,9.62,RPV,
-18.01,13.13,12.26,RPV,
-11.09,10.74,10.53,RPV,
-10.06,11.01,11.19,RPV,